time,logger,level,message,exception
2012-08-15 06:39:02.5157,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Checking index Album/SoldByArtist took: 00:00:00.3193150, clean: True",
2012-08-15 06:39:02.5157,Raven.Database.Indexing.IndexStorage,Warn,"Segments file=segments_3 numSegments=2 version=FORMAT_DIAGNOSTICS [Lucene 2.9]
  1 of 2: name=_0 docCount=137
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.02
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, java.version=, os.version=Microsoft Windows NT 6.1.7601 Service Pack 1, java.vendor=}
    has deletions [delFileName=_0_1.del]
    test: open reader.........OK [137 deleted docs]
    test: fields..............OK [5 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [747 terms; 1644 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  2 of 2: name=_1 docCount=137
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.02
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, java.version=, os.version=Mic",
2012-08-15 06:39:02.5427,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Album/SoldByArtist,
2012-08-15 06:39:02.5677,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Albums/ByTitle,
2012-08-15 06:39:02.5677,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Unclean shutdown detected on Albums/ByTitle, checking the index for errors. This may take a while.",
2012-08-15 06:39:02.5677,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Checking index Albums/ByTitle took: 00:00:00.0069223, clean: True",
2012-08-15 06:39:02.5677,Raven.Database.Indexing.IndexStorage,Warn,"Segments file=segments_4 numSegments=3 version=FORMAT_DIAGNOSTICS [Lucene 2.9]
  1 of 3: name=_0 docCount=246
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.01
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, java.version=, os.version=Microsoft Windows NT 6.1.7601 Service Pack 1, java.vendor=}
    has deletions [delFileName=_0_2.del]
    test: open reader.........OK [246 deleted docs]
    test: fields..............OK [2 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [487 terms; 492 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  2 of 3: name=_1 docCount=128
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.01
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, java.version=, os.version=Microsoft Windows NT 6.1.7601 Service Pack 1, java.vendor=}
    has deletions [delFileName=_1_1.del]
    test: open reader.........OK [10 deleted docs]
    test: fields..............OK [2 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [256 terms; 256 terms/docs pairs; 236 tokens]
    test: stored fields.......OK [118 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  3 of 3: name=_2 docCount=128
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.01
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, java.version=, os.version=Microsoft Windows NT 6.1.7601 Service Pack 1, java.vendor=}
    no deletions
    test: open reader.........OK
    test: fields..............OK [2 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [253 terms; 256 terms/docs pairs; 256 tokens]
    test: stored f",
2012-08-15 06:39:02.5677,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Albums/ByTitle,
2012-08-15 06:39:02.5807,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index AlbumsByCountSold,
2012-08-15 06:39:02.5807,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Unclean shutdown detected on AlbumsByCountSold, checking the index for errors. This may take a while.",
2012-08-15 06:39:02.5807,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Checking index AlbumsByCountSold took: 00:00:00.0072140, clean: True",
